Subject.ID,ID,Condition,Gender,age.in.months,age.in.days,DOB,DOT,objects ,object.category,trial.number,trial.start,first.top.touch,trial.end ,latency.to.touch,latency,trial.duration,blocked.order
IPAP_260155,260155,Social.Information,Female,8months_30days,273,8/23/2018,5/22/2019,geode,Natural.objects,1,0:02:29,0:02:33,0:02:33,4,4,4,geode_stationeryholder_blueartifact_plant1_plant2_greenartifact_shoe_seashell
IPAP_260155,260155,Social.Information,Female,8months_30days,273,8/23/2018,5/22/2019,stationeryholder,Familiar.objects,2,0:03:23,0:03:24,0:03:24,1,1,1,geode_stationeryholder_blueartifact_plant1_plant2_greenartifact_shoe_seashell
IPAP_260155,260155,Social.Information,Female,8months_30days,273,8/23/2018,5/22/2019,blueartifact,Novel.artifacts,3,0:04:12,0:04:13,0:04:13,1,1,1,geode_stationeryholder_blueartifact_plant1_plant2_greenartifact_shoe_seashell
IPAP_260155,260155,Social.Information,Female,8months_30days,273,8/23/2018,5/22/2019,plant1,Plants,4,0:05:04,0:05:05,0:05:05,1,1,1,geode_stationeryholder_blueartifact_plant1_plant2_greenartifact_shoe_seashell
IPAP_260155,260155,Social.Information,Female,8months_30days,273,8/23/2018,5/22/2019,plant2,Plants,5,0:05:57,0:05:59,0:05:59,2,2,2,geode_stationeryholder_blueartifact_plant1_plant2_greenartifact_shoe_seashell
IPAP_260155,260155,Social.Information,Female,8months_30days,273,8/23/2018,5/22/2019,greenartifact,Novel.artifacts,6,0:06:47,0:06:49,0:06:49,2,2,2,geode_stationeryholder_blueartifact_plant1_plant2_greenartifact_shoe_seashell
IPAP_260155,260155,Social.Information,Female,8months_30days,273,8/23/2018,5/22/2019,shoe,Familiar.objects,7,0:07:35,0:07:39,0:07:39,4,4,4,geode_stationeryholder_blueartifact_plant1_plant2_greenartifact_shoe_seashell
IPAP_260155,260155,Social.Information,Female,8months_30days,273,8/23/2018,5/22/2019,seashell,Natural.objects,8,0:08:41,0:08:43,0:08:43,2,2,2,geode_stationeryholder_blueartifact_plant1_plant2_greenartifact_shoe_seashell
IPAP_260068,260068,Social.Information,Male,9months_7days,280,8/15/2018,5/22/2019,geode,Natural.objects,1,0:02:05,NA,0:02:35,30,NA,30,geode_blueartifact_plant1_stationeryholder_shoe_plant2_greenartifact_seashell
IPAP_260068,260068,Social.Information,Male,9months_7days,280,8/15/2018,5/22/2019,blueartifact,Novel.artifacts,2,0:03:20,NA,0:03:50,30,NA,30,geode_blueartifact_plant1_stationeryholder_shoe_plant2_greenartifact_seashell
IPAP_260068,260068,Social.Information,Male,9months_7days,280,8/15/2018,5/22/2019,plant1,Plants,3,0:04:33,NA,0:05:03,30,NA,30,geode_blueartifact_plant1_stationeryholder_shoe_plant2_greenartifact_seashell
IPAP_260068,260068,Social.Information,Male,9months_7days,280,8/15/2018,5/22/2019,stationeryholder,Familiar.objects,4,0:05:54,NA,0:06:24,30,NA,30,geode_blueartifact_plant1_stationeryholder_shoe_plant2_greenartifact_seashell
IPAP_260068,260068,Social.Information,Male,9months_7days,280,8/15/2018,5/22/2019,shoe,Familiar.objects,5,0:07:11,NA,0:07:41,30,NA,30,geode_blueartifact_plant1_stationeryholder_shoe_plant2_greenartifact_seashell
IPAP_260068,260068,Social.Information,Male,9months_7days,280,8/15/2018,5/22/2019,plant2,Plants,6,0:08:31,NA,0:09:01,30,NA,30,geode_blueartifact_plant1_stationeryholder_shoe_plant2_greenartifact_seashell
IPAP_260068,260068,Social.Information,Male,9months_7days,280,8/15/2018,5/22/2019,greenartifact,Novel.artifacts,7,0:09:48,NA,0:10:18,30,NA,30,geode_blueartifact_plant1_stationeryholder_shoe_plant2_greenartifact_seashell
IPAP_260068,260068,Social.Information,Male,9months_7days,280,8/15/2018,5/22/2019,seashell,Natural.objects,8,0:11:00,NA,0:11:30,30,NA,30,geode_blueartifact_plant1_stationeryholder_shoe_plant2_greenartifact_seashell
IPAP_260366,260366,No.Social.Information,Female,9months_9days,282,8/14/2018,5/23/2019,plant1,Plants,1,0:03:54,0:04:08,0:04:10,14,14,30,plant1_stationeryholder_blueartifact_geode_seashell_greenartifact_shoe_plant2
IPAP_260366,260366,No.Social.Information,Female,9months_9days,282,8/14/2018,5/23/2019,stationeryholder,Familiar.objects,2,0:05:00,0:05:01,0:05:01,1,1,1,plant1_stationeryholder_blueartifact_geode_seashell_greenartifact_shoe_plant2
IPAP_260366,260366,No.Social.Information,Female,9months_9days,282,8/14/2018,5/23/2019,blueartifact,Novel.artifacts,3,0:06:10,0:06:15,0:06:15,5,5,5,plant1_stationeryholder_blueartifact_geode_seashell_greenartifact_shoe_plant2
IPAP_260366,260366,No.Social.Information,Female,9months_9days,282,8/14/2018,5/23/2019,geode,Natural.objects,4,0:07:06,0:07:07,0:07:07,1,1,1,plant1_stationeryholder_blueartifact_geode_seashell_greenartifact_shoe_plant2
IPAP_260366,260366,No.Social.Information,Female,9months_9days,282,8/14/2018,5/23/2019,seashell,Natural.objects,5,0:08:00,NA,NA,30,NA,30,plant1_stationeryholder_blueartifact_geode_seashell_greenartifact_shoe_plant2
IPAP_260366,260366,No.Social.Information,Female,9months_9days,282,8/14/2018,5/23/2019,greenartifact,Novel.artifacts,6,0:09:09,0:09:13,0:09:13,4,4,4,plant1_stationeryholder_blueartifact_geode_seashell_greenartifact_shoe_plant2
IPAP_260366,260366,No.Social.Information,Female,9months_9days,282,8/14/2018,5/23/2019,shoe,Familiar.objects,7,0:09:59,NA,NA,30,NA,30,plant1_stationeryholder_blueartifact_geode_seashell_greenartifact_shoe_plant2
IPAP_260366,260366,No.Social.Information,Female,9months_9days,282,8/14/2018,5/23/2019,plant2,Plants,8,0:11:14,0:11:25,0:11:25,11,11,11,plant1_stationeryholder_blueartifact_geode_seashell_greenartifact_shoe_plant2
IPAP_260336,260336,No.Social.Information,Male,8months_29days,272,8/25/2018,5/23/2019,plant1,Plants,1,0:01:38,0:02:02,0:02:02,24,24,24,plant1_blueartifact_geode_stationeryholder_shoe_seashell_greenartifact_plant2
IPAP_260336,260336,No.Social.Information,Male,8months_29days,272,8/25/2018,5/23/2019,blueartifact,Novel.artifacts,2,0:02:48,0:02:50,0:02:50,2,2,2,plant1_blueartifact_geode_stationeryholder_shoe_seashell_greenartifact_plant2
IPAP_260336,260336,No.Social.Information,Male,8months_29days,272,8/25/2018,5/23/2019,geode,Natural.objects,3,0:03:33,0:03:43,0:03:43,10,10,10,plant1_blueartifact_geode_stationeryholder_shoe_seashell_greenartifact_plant2
IPAP_260336,260336,No.Social.Information,Male,8months_29days,272,8/25/2018,5/23/2019,stationeryholder,Familiar.objects,4,0:04:30,0:04:31,0:04:31,1,1,1,plant1_blueartifact_geode_stationeryholder_shoe_seashell_greenartifact_plant2
IPAP_260336,260336,No.Social.Information,Male,8months_29days,272,8/25/2018,5/23/2019,shoe,Familiar.objects,5,0:05:16,0:05:20,0:05:20,4,4,4,plant1_blueartifact_geode_stationeryholder_shoe_seashell_greenartifact_plant2
IPAP_260336,260336,No.Social.Information,Male,8months_29days,272,8/25/2018,5/23/2019,seashell,Natural.objects,6,0:06:00,0:06:05,0:06:05,5,5,5,plant1_blueartifact_geode_stationeryholder_shoe_seashell_greenartifact_plant2
IPAP_260336,260336,No.Social.Information,Male,8months_29days,272,8/25/2018,5/23/2019,greenartifact,Novel.artifacts,7,0:06:48,0:06:49,0:06:49,1,1,1,plant1_blueartifact_geode_stationeryholder_shoe_seashell_greenartifact_plant2
IPAP_260336,260336,No.Social.Information,Male,8months_29days,272,8/25/2018,5/23/2019,plant2,Plants,8,0:07:33,0:07:36,0:07:36,3,3,3,plant1_blueartifact_geode_stationeryholder_shoe_seashell_greenartifact_plant2
IPAP_260464,260464,Social.Information,Male,11months_28days,362,5/30/2018,5/27/2019,greenartifact,Novel.artifacts,1,0:01:58,0:02:01,0:02:01,3,3,3,greenartifact_shoe_seashell_plant2_plant1_geode_stationeryholder_blueartifact
IPAP_260464,260464,Social.Information,Male,11months_28days,362,5/30/2018,5/27/2019,shoe,Familiar.objects,2,0:02:51,0:02:59,0:02:59,8,8,8,greenartifact_shoe_seashell_plant2_plant1_geode_stationeryholder_blueartifact
IPAP_260464,260464,Social.Information,Male,11months_28days,362,5/30/2018,5/27/2019,seashell,Natural.objects,3,0:03:53,0:03:55,0:03:55,2,2,2,greenartifact_shoe_seashell_plant2_plant1_geode_stationeryholder_blueartifact
IPAP_260464,260464,Social.Information,Male,11months_28days,362,5/30/2018,5/27/2019,plant2,Plants,4,0:04:45,0:04:49,0:04:49,4,4,4,greenartifact_shoe_seashell_plant2_plant1_geode_stationeryholder_blueartifact
IPAP_260464,260464,Social.Information,Male,11months_28days,362,5/30/2018,5/27/2019,plant1,Plants,5,0:05:37,0:05:40,0:05:40,3,3,3,greenartifact_shoe_seashell_plant2_plant1_geode_stationeryholder_blueartifact
IPAP_260464,260464,Social.Information,Male,11months_28days,362,5/30/2018,5/27/2019,geode,Natural.objects,6,0:06:33,0:06:35,0:06:35,2,2,2,greenartifact_shoe_seashell_plant2_plant1_geode_stationeryholder_blueartifact
IPAP_260464,260464,Social.Information,Male,11months_28days,362,5/30/2018,5/27/2019,stationeryholder,Familiar.objects,7,0:07:33,0:07:35,0:07:35,2,2,2,greenartifact_shoe_seashell_plant2_plant1_geode_stationeryholder_blueartifact
IPAP_260464,260464,Social.Information,Male,11months_28days,362,5/30/2018,5/27/2019,blueartifact,Novel.artifacts,8,0:08:25,0:08:27,0:08:27,2,2,2,greenartifact_shoe_seashell_plant2_plant1_geode_stationeryholder_blueartifact
IPAP_260316,260316,No.Social.Information,Female,9months_20days,293,8/7/2018,5/27/2019,greenartifact,Novel.artifacts,1,0:06:53,0:06:57,0:06:57,4,4,4,greenartifact_seashell_plant2_shoe_stationeryholder_plant1_geode_blueartifact
IPAP_260316,260316,No.Social.Information,Female,9months_20days,293,8/7/2018,5/27/2019,seashell,Natural.objects,2,0:07:46,0:07:48,0:07:48,2,2,2,greenartifact_seashell_plant2_shoe_stationeryholder_plant1_geode_blueartifact
IPAP_260316,260316,No.Social.Information,Female,9months_20days,293,8/7/2018,5/27/2019,plant2,Plants,3,0:08:27,0:08:29,0:08:29,2,2,2,greenartifact_seashell_plant2_shoe_stationeryholder_plant1_geode_blueartifact
IPAP_260316,260316,No.Social.Information,Female,9months_20days,293,8/7/2018,5/27/2019,shoe,Familiar.objects,4,0:09:20,0:09:21,0:09:21,1,1,1,greenartifact_seashell_plant2_shoe_stationeryholder_plant1_geode_blueartifact
IPAP_260316,260316,No.Social.Information,Female,9months_20days,293,8/7/2018,5/27/2019,stationeryholder,Familiar.objects,5,0:10:07,0:10:08,0:10:08,1,1,1,greenartifact_seashell_plant2_shoe_stationeryholder_plant1_geode_blueartifact
IPAP_260316,260316,No.Social.Information,Female,9months_20days,293,8/7/2018,5/27/2019,plant1,Plants,6,0:10:53,0:10:57,0:10:57,4,4,4,greenartifact_seashell_plant2_shoe_stationeryholder_plant1_geode_blueartifact
IPAP_260316,260316,No.Social.Information,Female,9months_20days,293,8/7/2018,5/27/2019,geode,Natural.objects,7,0:11:36,0:11:37,0:11:37,1,1,1,greenartifact_seashell_plant2_shoe_stationeryholder_plant1_geode_blueartifact
IPAP_260316,260316,No.Social.Information,Female,9months_20days,293,8/7/2018,5/27/2019,blueartifact,Novel.artifacts,8,0:12:13,0:12:14,0:12:14,1,1,1,greenartifact_seashell_plant2_shoe_stationeryholder_plant1_geode_blueartifact
IPAP_260208,260208,Social.Information,Male,12months_5days,370,5/23/2018,5/28/2019,shoe,Familiar.objects,1,0:01:44,NA,0:02:14,30,NA,30,shoe_seashell_greenartifact_plant2_plant1_blueartifact_geode_stationeryholder
IPAP_260208,260208,Social.Information,Male,12months_5days,370,5/23/2018,5/28/2019,seashell,Natural.objects,2,0:02:57,NA,0:03:27,30,NA,30,shoe_seashell_greenartifact_plant2_plant1_blueartifact_geode_stationeryholder
IPAP_260208,260208,Social.Information,Male,12months_5days,370,5/23/2018,5/28/2019,greenartifact,Novel.artifacts,3,0:04:20,NA,0:04:50,30,NA,30,shoe_seashell_greenartifact_plant2_plant1_blueartifact_geode_stationeryholder
IPAP_260208,260208,Social.Information,Male,12months_5days,370,5/23/2018,5/28/2019,plant2,Plants,4,0:05:45,NA,0:06:15,30,NA,30,shoe_seashell_greenartifact_plant2_plant1_blueartifact_geode_stationeryholder
IPAP_260208,260208,Social.Information,Male,12months_5days,370,5/23/2018,5/28/2019,plant1,Plants,5,0:07:17,0:07:27,0:07:27,10,10,10,shoe_seashell_greenartifact_plant2_plant1_blueartifact_geode_stationeryholder
IPAP_260208,260208,Social.Information,Male,12months_5days,370,5/23/2018,5/28/2019,blueartifact,Novel.artifacts,6,0:08:30,0:08:37,0:08:37,7,7,7,shoe_seashell_greenartifact_plant2_plant1_blueartifact_geode_stationeryholder
IPAP_260208,260208,Social.Information,Male,12months_5days,370,5/23/2018,5/28/2019,geode,Natural.objects,7,0:09:27,0:09:43,0:09:43,16,16,16,shoe_seashell_greenartifact_plant2_plant1_blueartifact_geode_stationeryholder
IPAP_260208,260208,Social.Information,Male,12months_5days,370,5/23/2018,5/28/2019,stationeryholder,Familiar.objects,8,0:10:32,0:10:35,0:10:35,3,3,3,shoe_seashell_greenartifact_plant2_plant1_blueartifact_geode_stationeryholder
IPAP_260246,260246,No.Social.Information,Female,9months_30days,303,7/29/2018,5/28/2019,greenartifact,Novel.artifacts,1,0:01:56,0:02:10,0:02:10,14,14,14,greenartifact_plant2_shoe_seashell_geode_stationeryholder_plant1_blueartifact
IPAP_260246,260246,No.Social.Information,Female,9months_30days,303,7/29/2018,5/28/2019,plant2,Plants,2,0:03:13,0:03:17,0:03:17,4,4,4,greenartifact_plant2_shoe_seashell_geode_stationeryholder_plant1_blueartifact
IPAP_260246,260246,No.Social.Information,Female,9months_30days,303,7/29/2018,5/28/2019,shoe,Familiar.objects,3,0:04:05,0:04:07,0:04:07,2,2,2,greenartifact_plant2_shoe_seashell_geode_stationeryholder_plant1_blueartifact
IPAP_260246,260246,No.Social.Information,Female,9months_30days,303,7/29/2018,5/28/2019,seashell,Natural.objects,4,0:04:49,0:04:55,0:04:55,6,6,6,greenartifact_plant2_shoe_seashell_geode_stationeryholder_plant1_blueartifact
IPAP_260246,260246,No.Social.Information,Female,9months_30days,303,7/29/2018,5/28/2019,geode,Natural.objects,5,0:05:39,0:05:43,0:05:43,4,4,4,greenartifact_plant2_shoe_seashell_geode_stationeryholder_plant1_blueartifact
IPAP_260246,260246,No.Social.Information,Female,9months_30days,303,7/29/2018,5/28/2019,stationeryholder,Familiar.objects,6,0:06:33,0:06:41,0:06:41,8,8,8,greenartifact_plant2_shoe_seashell_geode_stationeryholder_plant1_blueartifact
IPAP_260246,260246,No.Social.Information,Female,9months_30days,303,7/29/2018,5/28/2019,plant1,Plants,7,0:07:26,0:07:33,0:07:33,7,7,7,greenartifact_plant2_shoe_seashell_geode_stationeryholder_plant1_blueartifact
IPAP_260246,260246,No.Social.Information,Female,9months_30days,303,7/29/2018,5/28/2019,blueartifact,Novel.artifacts,8,0:08:22,0:08:32,0:08:32,10,10,10,greenartifact_plant2_shoe_seashell_geode_stationeryholder_plant1_blueartifact
IPAP_260544,260544,Social.Information,Male,10months_15days,319,7/14/2018,5/29/2019,plant2,Plants,1,0:02:20,0:02:28,0:02:28,8,8,8,plant2_greenartifact_seashell_shoe_stationeryholder_geode_blueartifact_plant1
IPAP_260544,260544,Social.Information,Male,10months_15days,319,7/14/2018,5/29/2019,greenartifact,Novel.artifacts,2,0:03:10,0:03:15,0:03:15,5,5,5,plant2_greenartifact_seashell_shoe_stationeryholder_geode_blueartifact_plant1
IPAP_260544,260544,Social.Information,Male,10months_15days,319,7/14/2018,5/29/2019,seashell,Natural.objects,3,0:04:02,0:04:05,0:04:05,3,3,3,plant2_greenartifact_seashell_shoe_stationeryholder_geode_blueartifact_plant1
IPAP_260544,260544,Social.Information,Male,10months_15days,319,7/14/2018,5/29/2019,shoe,Familiar.objects,4,0:04:49,0:04:50,0:04:50,1,1,1,plant2_greenartifact_seashell_shoe_stationeryholder_geode_blueartifact_plant1
IPAP_260544,260544,Social.Information,Male,10months_15days,319,7/14/2018,5/29/2019,stationeryholder,Familiar.objects,5,0:05:35,NA,0:06:05,30,NA,30,plant2_greenartifact_seashell_shoe_stationeryholder_geode_blueartifact_plant1
IPAP_260544,260544,Social.Information,Male,10months_15days,319,7/14/2018,5/29/2019,geode,Natural.objects,6,0:07:10,0:07:28,0:07:28,18,18,18,plant2_greenartifact_seashell_shoe_stationeryholder_geode_blueartifact_plant1
IPAP_260544,260544,Social.Information,Male,10months_15days,319,7/14/2018,5/29/2019,blueartifact,Novel.artifacts,7,0:08:13,0:08:14,0:08:14,1,1,1,plant2_greenartifact_seashell_shoe_stationeryholder_geode_blueartifact_plant1
IPAP_260544,260544,Social.Information,Male,10months_15days,319,7/14/2018,5/29/2019,plant1,Plants,8,0:08:57,0:09:00,0:09:00,3,3,3,plant2_greenartifact_seashell_shoe_stationeryholder_geode_blueartifact_plant1
IPAP_260353,260353,No.Social.Information,Male,12months_29days,394,5/5/2018,6/3/2019,stationeryholder,Familiar.objects,1,0:02:30,NA,0:03:00,30,NA,30,stationeryholder_blueartifact_plant1_geode_seashell_plant2_greenartifact_shoe
IPAP_260353,260353,No.Social.Information,Male,12months_29days,394,5/5/2018,6/3/2019,blueartifact,Novel.artifacts,2,0:04:14,NA,0:04:44,30,NA,30,stationeryholder_blueartifact_plant1_geode_seashell_plant2_greenartifact_shoe
IPAP_260353,260353,No.Social.Information,Male,12months_29days,394,5/5/2018,6/3/2019,plant1,Plants,3,0:05:29,0:05:33,0:05:33,4,4,4,stationeryholder_blueartifact_plant1_geode_seashell_plant2_greenartifact_shoe
IPAP_260353,260353,No.Social.Information,Male,12months_29days,394,5/5/2018,6/3/2019,geode,Natural.objects,4,0:06:16,NA,0:06:46,30,NA,30,stationeryholder_blueartifact_plant1_geode_seashell_plant2_greenartifact_shoe
IPAP_260353,260353,No.Social.Information,Male,12months_29days,394,5/5/2018,6/3/2019,seashell,Natural.objects,5,0:07:30,0:07:40,0:07:40,10,10,10,stationeryholder_blueartifact_plant1_geode_seashell_plant2_greenartifact_shoe
IPAP_260353,260353,No.Social.Information,Male,12months_29days,394,5/5/2018,6/3/2019,plant2,Plants,6,0:08:28,0:08:36,0:08:36,8,8,8,stationeryholder_blueartifact_plant1_geode_seashell_plant2_greenartifact_shoe
IPAP_260353,260353,No.Social.Information,Male,12months_29days,394,5/5/2018,6/3/2019,greenartifact,Novel.artifacts,7,0:09:21,0:09:37,0:09:37,16,16,16,stationeryholder_blueartifact_plant1_geode_seashell_plant2_greenartifact_shoe
