ID,Condition,Gender,1a,1b,1c,1d,2a,2b,2c,2d,3a,3b,3c,3d,4a,4b,4c,4d,td.shoe,td.stationeryholder,td.geode,td.seashell,latency.shoe,latency.stationeryholder,latency.geode,latency.seashell,comments
260155,Social Information,Female,ja,nein,nein,nein,5,1,1,1,5,1,1,1,1,1,1,1,4,1,4,2,4,1,4,2,
260068,Social Information,Male,ja,nein,nein,ja,5,1,1,2,5,1,1,1,1,NA,NA,1,30,30,30,30,NA,NA,NA,NA,NA for all
260366,No Social Information,Female ,ja,ja,nein,nein,2,2,1,1,2,3,1,1,1,1,1,1,30,1,1,30,NA,1,1,NA,NA for shoe and seashell 
260336,No Social Information,Male ,ja,ja,nein,ja,3,4,1,2,5,5,1,2,1,4,1,1,4,1,10,5,4,1,10,5,
260464,Social Information,Male,ja,nein,nein,ja,5,1,1,5,5,1,1,5,3,1,1,5,8,2,2,2,8,2,2,2,
260316,No Social Information,Female,ja,ja,nein,nein,5,5,1,1,5,5,1,1,2,3,1,1,1,1,1,2,1,1,1,2,
260208,Social Information,Male,ja,ja,nein,nein,5,3,1,1,5,1,1,1,3,1,1,1,30,3,16,30,NA,3,16,NA,NA for shoe and seashell 
260246,No Social Information,Female,ja,ja,ja,ja,3,1,1,1,4,1,1,1,1,1,1,1,2,8,4,6,2,8,4,6,
260544,Social Information,Male,ja,nein,nein,nein,5,1,1,1,5,3,1,2,1,1,1,1,1,30,18,3,1,NA,18,3,NA for stationery holder
260353,No Social Information,Male,ja,ja,nein,nein,5,1,1,1,5,3,1,1,1,3,1,1,30,30,30,10,NA,NA,NA,10,"NA for shoe, stationery holder and geode"
260516,No Social Information,Female,ja,ja,nein,nein,5,2,1,1,5,2,1,1,1,3,1,1,30,30,30,30,NA,NA,NA,NA,NA for all 
260229,Social Information,Male,ja,ja,nein,nein,5,1,1,1,5,3,1,1,1,1,1,1,30,4,6,30,NA,4,6,NA,NA for shoe and seashell
260510,No Social Information,Female,nein,ja,nein,ja,1,3,1,3,1,3,1,2,1,1,1,1,30,4,13,30,NA,4,13,NA,NA for shoe and seashell 
260034,Social Information,Female,ja,ja,nein,ja,5,5,1,2,5,5,1,1,3,3,1,1,3,30,30,3,3,NA,NA,3,NA for stationery holder and geode
260191,No Social Information,Male,ja,ja,nein,nein,3,2,1,1,3,4,1,1,1,3,1,1,1,30,30,2,1,NA,NA,2,NA for stationery holder and geode
260538,Social Information,Female,ja,nein,nein,ja,5,1,1,2,5,1,1,2,1,1,1,1,2,2,1,3,2,2,1,3,
260189,No Social Information,Female,ja,nein,nein,ja,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
260550,Social Information,Female,ja,nein,ja,ja,5,1,2,3,5,3,2,2,1,1,1,1,1,1,1,29,1,1,1,29,
260397,No Social Information,Female,ja,ja,nein,ja,5,2,1,2,5,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,
260264,Social Information,Female,ja,nein,nein,nein,5,1,1,1,5,1,1,1,1,1,1,1,30,30,30,30,NA,NA,NA,NA,NA for all 
260552,No Social Information,Female,ja,nein,nein,nein,4,1,1,1,4,1,1,1,1,1,1,1,2,4,5,5,2,4,5,5,
260475,Social Information,Male,ja,ja,nein,ja,3,3,1,4,3,3,1,3,1,1,1,1,1,2,7,1,1,2,7,1,
260335,No Social Information,Female,ja,nein,nein,nein,1,1,1,1,5,1,1,1,1,1,1,1,2,30,30,1,2,NA,30,1,NA for stationery holder
260309,Social Information,Male,ja,ja,nein,ja,5,3,1,2,5,3,1,2,1,3,1,1,30,2,1,30,NA,2,1,NA,NA for seashell and shoe 
260203,No Social Information,Female,ja,nein,nein,nein,2,1,1,1,5,1,1,1,1,1,1,1,10,7,3,5,10,7,3,5,
260249,Social Information,Female,ja,nein,nein,ja,5,1,1,2,5,1,1,2,1,1,1,1,2,1,1,3,2,1,1,3,
260197,No Social Information,Male,ja,ja,nein,ja,4,3,1,2,5,2,1,1,2,2,1,1,12,3,7,6,12,3,7,6,
260347,Social Information,Male,ja,nein,nein,ja,3,1,1,1,3,1,1,1,2,2,1,2,10,1,1,1,10,1,1,1,
260377,No Social Information,Male,ja,ja,nein,ja,3,1,1,3,3,1,1,3,1,1,1,3,1,1,2,1,1,1,2,1,
260421,Social Information,Female,ja,ja,nein,nein,3,2,1,1,4,2,1,1,1,1,1,1,30,30,30,30,NA,NA,NA,NA,NA for all 